checked_at_utc,status,details,url
2026-04-16T11:22:35+00:00,unknown,"Live check failed via CDP (http://127.0.0.1:9222): BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222
Call log:
  - <ws preparing> retrieving websocket url from http://127.0.0.1:9222
",
2026-04-16T11:23:22+00:00,unavailable,Validation run,
2026-04-16T12:02:02+00:00,unknown,"Live check failed via CDP (http://127.0.0.1:9222): BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222
Call log:
  - <ws preparing> retrieving websocket url from http://127.0.0.1:9222
",
2026-04-16T13:01:22+00:00,unknown,"Live check failed via CDP (http://127.0.0.1:9222): BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222
Call log:
  - <ws preparing> retrieving websocket url from http://127.0.0.1:9222
",
2026-04-16T13:01:54+00:00,unknown,"Live check failed via CDP. Tried: http://127.0.0.1:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222
Call log:
  - <ws preparing> retrieving websocket url from http://127.0.0.1:9222
 | http://localhost:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9222
Call log:
  - <ws preparing> retrieving websocket url from http://localhost:9222
",
2026-04-16T13:02:07+00:00,unknown,Live check failed via CDP. Tried: http://127.0.0.1:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9222 | http://localhost:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9222 Call log: - <ws preparing> retrieving websocket url from http://localhost:9222,
2026-04-16T14:02:05+00:00,unknown,Live check failed via CDP. Tried: http://127.0.0.1:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9222 | http://localhost:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9222 Call log: - <ws preparing> retrieving websocket url from http://localhost:9222 | http://127.0.0.1:9223: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9223 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9223 | http://localhost:9223: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9223 Call log: - <ws preparing> retrieving websocket url from http://localhost:9223 | http://127.0.0.1:9333: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9333 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9333 | http://localhost:9333: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9333 Call log: - <ws preparing> retrieving websocket url from http://localhost:9333,
2026-04-16T14:02:58+00:00,unknown,Live check failed via CDP. Tried: http://127.0.0.1:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9222 | http://localhost:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9222 Call log: - <ws preparing> retrieving websocket url from http://localhost:9222 | http://127.0.0.1:9223: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9223 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9223 | http://localhost:9223: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9223 Call log: - <ws preparing> retrieving websocket url from http://localhost:9223,
2026-04-16T15:01:14+00:00,unknown,Live check failed via CDP. Tried: http://127.0.0.1:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9222 | http://localhost:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9222 Call log: - <ws preparing> retrieving websocket url from http://localhost:9222 | http://127.0.0.1:9223: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9223 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9223 | http://localhost:9223: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9223 Call log: - <ws preparing> retrieving websocket url from http://localhost:9223,
2026-04-17T07:48:08+00:00,unknown,Live check failed via CDP. Tried: http://127.0.0.1:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9222 | http://localhost:9222: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9222 Call log: - <ws preparing> retrieving websocket url from http://localhost:9222 | http://127.0.0.1:9223: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9223 Call log: - <ws preparing> retrieving websocket url from http://127.0.0.1:9223 | http://localhost:9223: BrowserType.connect_over_cdp: connect ECONNREFUSED ::1:9223 Call log: - <ws preparing> retrieving websocket url from http://localhost:9223,
